N,Triton (GB/s),Torch (GB/s)
256.000000,390.593445,500.121474
384.000000,535.928432,598.097018
512.000000,642.816307,591.441808
640.000000,586.904292,638.696815
768.000000,613.999156,767.474046
896.000000,603.173898,685.711602
1024.000000,586.354116,680.688870
1152.000000,542.234249,607.966954
1280.000000,615.374578,616.240280
1408.000000,653.180840,624.098142
1536.000000,658.251538,692.210188
1664.000000,708.079606,680.363693
1792.000000,654.019256,650.611466
1920.000000,657.876963,655.992377
2048.000000,668.933913,661.195422
2176.000000,617.024536,562.534567
2304.000000,687.736092,586.000584
2432.000000,686.271391,603.789027
2560.000000,668.372284,615.399520
2688.000000,666.562656,632.552191
2816.000000,677.375382,648.101624
2944.000000,671.447103,657.399061
3072.000000,682.166183,667.677538
3200.000000,670.776532,676.631687
3328.000000,664.634568,680.810766
3456.000000,680.693983,692.608643
3584.000000,713.277398,696.628270
3712.000000,705.146970,697.148864
3840.000000,723.450376,704.967100
3968.000000,694.038326,705.765900
4096.000000,721.041229,717.430382
4224.000000,690.320969,724.498060
4352.000000,710.650825,730.509878
4480.000000,710.908761,736.735337
4608.000000,730.723234,742.920969
4736.000000,729.884866,737.877306
4864.000000,723.816596,740.297908
4992.000000,710.373820,739.119903
5120.000000,730.905503,745.541640
5248.000000,730.907536,746.273503
5376.000000,715.301046,742.888633
5504.000000,735.988352,747.631428
5632.000000,717.684157,742.519282
5760.000000,719.234771,746.756313
5888.000000,731.084851,748.879669
6016.000000,735.747540,746.378522
6144.000000,714.800570,750.244179
6272.000000,715.872159,746.817262
6400.000000,715.978518,749.414149
6528.000000,714.880720,750.353348
6656.000000,729.161524,750.345360
6784.000000,732.254386,750.964820
6912.000000,715.039754,751.851935
7040.000000,734.732539,757.180563
7168.000000,718.697220,752.597089
7296.000000,729.936975,746.238833
7424.000000,728.103935,746.771456
7552.000000,727.091682,747.188993
7680.000000,717.147953,749.799236
7808.000000,733.374993,748.280957
7936.000000,733.698014,750.097286
8064.000000,736.443988,747.944161
8192.000000,732.190651,747.016388
8320.000000,715.934100,756.683636
8448.000000,735.312781,753.744119
8576.000000,734.112342,752.853885
8704.000000,724.903646,757.812641
8832.000000,722.030885,755.187927
8960.000000,724.508746,756.326110
9088.000000,725.404601,757.123572
9216.000000,724.833088,753.729557
9344.000000,723.885569,746.348722
9472.000000,727.275480,745.643703
9600.000000,724.774572,748.415551
9728.000000,733.472093,747.288860
9856.000000,734.468396,746.936008
9984.000000,735.081663,743.702888
10112.000000,724.544976,748.193048
10240.000000,737.128853,748.485891
10368.000000,735.802965,746.243304
10496.000000,738.748568,746.836230
10624.000000,735.800643,748.487676
10752.000000,728.535547,747.605335
10880.000000,727.242226,748.878571
11008.000000,729.354923,747.397307
11136.000000,732.963190,749.865853
11264.000000,731.537866,749.738254
11392.000000,736.727016,750.676430
11520.000000,736.701807,749.033533
11648.000000,736.693704,748.034171
11776.000000,731.697699,748.360546
11904.000000,731.486628,751.435690
12032.000000,732.031631,749.620833
12160.000000,730.058116,749.014055
12288.000000,739.493520,749.711618
12416.000000,730.322560,748.147740
12544.000000,731.845666,748.367805
12672.000000,730.437247,749.762601
