size,Triton (GB/s),Torch (GB/s)
4096.000000,6.000000,5.333333
8192.000000,31.999999,10.666666
16384.000000,21.333333,21.333333
32768.000000,99.096776,42.592721
65536.000000,189.046153,85.333330
131072.000000,361.411758,153.600004
262144.000000,255.999991,255.999991
524288.000000,438.857137,438.857137
1048576.000000,769.502949,558.545450
2097152.000000,664.216187,646.736871
4194304.000000,768.375188,712.347810
8388608.000000,744.727267,744.727267
16777216.000000,780.868302,765.011652
33554432.000000,777.106702,775.573936
67108864.000000,782.130304,782.519427
134217728.000000,786.825378,786.038940
